262300867: {'y': 23.0431978, 'x': 91.3654096, 'street_count': 3}
262300916: {'y': 23.014158, 'x': 91.3759489, 'street_count': 3}
262300919: {'y': 23.0127888, 'x': 91.3775605, 'street_count': 3}
319272144: {'y': 23.0096053, 'x': 91.3842172, 'street_count': 4}
319272145: {'y': 23.0093407, 'x': 91.3906139, 'street_count': 3}
319272148: {'y': 23.0127882, 'x': 91.3962528, 'street_count': 3}
319272149: {'y': 23.0134728, 'x': 91.3990898, 'street_count': 3}
319272151: {'y': 23.0150062, 'x': 91.4004665, 'street_count': 3}
319272170: {'y': 23.0295193, 'x': 91.40717, 'street_count': 3}
319272171: {'y': 23.0297647, 'x': 91.407885, 'street_count': 3}
319272173: {'y': 23.0314173, 'x': 91.412654, 'street_count': 4}
319272621: {'y': 23.0397073, 'x': 91.5170924, 'street_count': 3}
319272630: {'y': 23.0399644, 'x': 91.5204911, 'street_count': 3}
319275636: {'y': 22.9498156, 'x': 91.4889952, 'street_count': 3}
1848934563: {'y': 22.9239928, 'x': 91.4555626, 'street_count': 3}
1848934582: {'y': 22.9256166, 'x': 91.4550172, 'street_count': 3}
1848934849: {'y': 22.9380125, 'x': 91.4426045, 'street_count': 1}
1848934989: {'y': 22.9483297, 'x': 91.4761256, 'street_count': 3}
1848934994: {'y': 22.9490913, 'x': 91.4855398, 'street_count': 3}
1848935004: {'y': 22.9514565, 'x': 91.4844058, 'street_count': 3}
1848935005: {'y': 22.9514754, 'x': 91.4850004, 'street_count': 3}
1848935029: {'y': 22.9540468, 'x': 91.4783019, 'street_count': 3}
1848935062: {'y': 22.9559347, 'x': 91.4403228, 'street_count': 1}
1848935069: {'y': 22.9562711, 'x': 91.4393979, 'street_count': 3}
1848935071: {'y': 22.95636, 'x': 91.4822915, 'street_count': 3}
1848935143: {'y': 22.9619174, 'x': 91.4801032, 'street_count': 3}
1848935170: {'y': 22.9648633, 'x': 91.4793995, 'street_count': 3}
1848935343: {'y': 22.9727814, 'x': 91.4951216, 'street_count': 1}
1848935368: {'y': 22.9737354, 'x': 91.4896297, 'street_count': 3}
1848935397: {'y': 22.9743835, 'x': 91.4754384, 'street_count': 3}
1848935482: {'y': 22.9803265, 'x': 91.4951195, 'street_count': 1}
1848935517: {'y': 22.9809642, 'x': 91.4738951, 'street_count': 3}
1848935535: {'y': 22.9820456, 'x': 91.4700996, 'street_count': 4}
1848935609: {'y': 22.9878959, 'x': 91.4673645, 'street_count': 3}
1848935743: {'y': 23.0021019, 'x': 91.4604735, 'street_count': 1}
1848935774: {'y': 23.0029992, 'x': 91.450636, 'street_count': 3}
1848936138: {'y': 23.0259266, 'x': 91.4612762, 'street_count': 3}
1848936182: {'y': 23.0284548, 'x': 91.4622537, 'street_count': 1}
1853240461: {'y': 22.851424, 'x': 91.387933, 'street_count': 3}
1853240478: {'y': 22.8531665, 'x': 91.3868339, 'street_count': 3}
1853240489: {'y': 22.8549379, 'x': 91.3857685, 'street_count': 3}
1853240680: {'y': 22.8669956, 'x': 91.3779678, 'street_count': 3}
1853240799: {'y': 22.8738352, 'x': 91.377551, 'street_count': 3}
1853241113: {'y': 22.8953404, 'x': 91.376181, 'street_count': 3}
1853241127: {'y': 22.896227, 'x': 91.3012909, 'street_count': 3}
1853241149: {'y': 22.8984739, 'x': 91.3221532, 'street_count': 3}
1853241152: {'y': 22.8983558, 'x': 91.3765521, 'street_count': 3}
1853241181: {'y': 22.8999186, 'x': 91.3063136, 'street_count': 4}
1853241203: {'y': 22.9008031, 'x': 91.2761888, 'street_count': 3}
1853241214: {'y': 22.9014687, 'x': 91.2735012, 'street_count': 3}
1853241220: {'y': 22.9024517, 'x': 91.3171052, 'street_count': 4}
1853241226: {'y': 22.9026913, 'x': 91.3136724, 'street_count': 3}
1853241237: {'y': 22.9031257, 'x': 91.3095495, 'street_count': 3}
1853241242: {'y': 22.9037181, 'x': 91.3788665, 'street_count': 3}
1853241243: {'y': 22.9038358, 'x': 91.378663, 'street_count': 3}
1853241252: {'y': 22.9054867, 'x': 91.2758976, 'street_count': 3}
1853241374: {'y': 22.9296975, 'x': 91.3349427, 'street_count': 3}
1853241439: {'y': 22.9340835, 'x': 91.2985494, 'street_count': 3}
1853241462: {'y': 22.9353821, 'x': 91.3094845, 'street_count': 3}
1853241465: {'y': 22.9354132, 'x': 91.3092573, 'street_count': 3}
1853241471: {'y': 22.9359837, 'x': 91.3755452, 'street_count': 3}
1853241474: {'y': 22.9360487, 'x': 91.3070881, 'street_count': 4}
1853241498: {'y': 22.9366028, 'x': 91.3045677, 'street_count': 3}
1853241499: {'y': 22.9366869, 'x': 91.304049, 'street_count': 3}
1853241501: {'y': 22.93685, 'x': 91.3501589, 'street_count': 3}
1853241511: {'y': 22.9370374, 'x': 91.3026028, 'street_count': 3}
1853241529: {'y': 22.9377928, 'x': 91.2992278, 'street_count': 3}
1853241530: {'y': 22.9378722, 'x': 91.3042805, 'street_count': 3}
1853241591: {'y': 22.9416629, 'x': 91.2735542, 'street_count': 3}
1853241606: {'y': 22.9433935, 'x': 91.2684606, 'street_count': 3}
1853241609: {'y': 22.9436819, 'x': 91.266382, 'street_count': 3}
1853241945: {'y': 22.9570508, 'x': 91.3301069, 'street_count': 3}
1853242049: {'y': 22.9597616, 'x': 91.2610678, 'street_count': 1}
1853242200: {'y': 22.9646554, 'x': 91.3034717, 'street_count': 3}
1853242265: {'y': 22.9659133, 'x': 91.2796583, 'street_count': 1}
1853242293: {'y': 22.9663773, 'x': 91.3034196, 'street_count': 3}
1853242432: {'y': 22.9721698, 'x': 91.3344339, 'street_count': 3}
1853242603: {'y': 22.9802728, 'x': 91.3365704, 'street_count': 3}
1853242605: {'y': 22.9816794, 'x': 91.307116, 'street_count': 3}
1853242613: {'y': 22.9815254, 'x': 91.3369379, 'street_count': 3}
1853242626: {'y': 22.9831932, 'x': 91.3381953, 'street_count': 3}
1853242672: {'y': 22.9847474, 'x': 91.30687, 'street_count': 3}
1853242742: {'y': 22.9858521, 'x': 91.3068123, 'street_count': 3}
1853243124: {'y': 22.9890774, 'x': 91.3457113, 'street_count': 3}
1853243234: {'y': 22.9944992, 'x': 91.3450889, 'street_count': 3}
1853243251: {'y': 22.9963351, 'x': 91.3454102, 'street_count': 3}
1853243291: {'y': 22.999338, 'x': 91.342644, 'street_count': 3}
1853243359: {'y': 23.0008418, 'x': 91.3185773, 'street_count': 3}
1853243424: {'y': 23.0026406, 'x': 91.3184111, 'street_count': 3}
1853243441: {'y': 23.004608, 'x': 91.3547348, 'street_count': 3}
1853243465: {'y': 23.005679, 'x': 91.3570185, 'street_count': 3}
1853243495: {'y': 23.0062038, 'x': 91.3581836, 'street_count': 3}
1853243497: {'y': 23.0059873, 'x': 91.3253403, 'street_count': 3}
1853243502: {'y': 23.0060763, 'x': 91.3543814, 'street_count': 3}
1853243513: {'y': 23.0061216, 'x': 91.3555668, 'street_count': 3}
1853243517: {'y': 23.0062321, 'x': 91.358247, 'street_count': 3}
1853243521: {'y': 23.006278, 'x': 91.3576879, 'street_count': 3}
1853243535: {'y': 23.006448, 'x': 91.3200055, 'street_count': 4}
1853243543: {'y': 23.0068754, 'x': 91.3144868, 'street_count': 3}
1853243553: {'y': 23.0069175, 'x': 91.3256737, 'street_count': 3}
1853243562: {'y': 23.0071447, 'x': 91.3614819, 'street_count': 3}
1853243566: {'y': 23.0070525, 'x': 91.3438823, 'street_count': 3}
1853243576: {'y': 23.0070924, 'x': 91.3446725, 'street_count': 3}
1853243581: {'y': 23.0072423, 'x': 91.3270698, 'street_count': 3}
1853243588: {'y': 23.007292, 'x': 91.362109, 'street_count': 3}
1853243629: {'y': 23.0078408, 'x': 91.339224, 'street_count': 3}
1853243640: {'y': 23.0085252, 'x': 91.3677209, 'street_count': 3}
1853243651: {'y': 23.0084963, 'x': 91.3087297, 'street_count': 3}
1853243653: {'y': 23.0084608, 'x': 91.3446126, 'street_count': 3}
1853243655: {'y': 23.0082859, 'x': 91.3263563, 'street_count': 3}
1853243657: {'y': 23.0086689, 'x': 91.3082168, 'street_count': 3}
1853243685: {'y': 23.0091673, 'x': 91.3694801, 'street_count': 3}
1853243696: {'y': 23.0095984, 'x': 91.3793829, 'street_count': 3}
1853243728: {'y': 23.0098857, 'x': 91.3733524, 'street_count': 4}
1853243765: {'y': 23.0118688, 'x': 91.320099, 'street_count': 3}
1853243798: {'y': 23.0134459, 'x': 91.2846898, 'street_count': 3}
1853243808: {'y': 23.0143255, 'x': 91.3076993, 'street_count': 3}
1853243810: {'y': 23.0143637, 'x': 91.2919668, 'street_count': 3}
1853243813: {'y': 23.0143736, 'x': 91.3081043, 'street_count': 3}
1853243843: {'y': 23.0145701, 'x': 91.2963908, 'street_count': 4}
1853243875: {'y': 23.0147906, 'x': 91.3081198, 'street_count': 3}
1853243884: {'y': 23.0154358, 'x': 91.3074356, 'street_count': 3}
1853243890: {'y': 23.0153982, 'x': 91.3081282, 'street_count': 3}
1853243934: {'y': 23.0163869, 'x': 91.3054354, 'street_count': 3}
1853244042: {'y': 23.0212312, 'x': 91.3450059, 'street_count': 3}
1853244169: {'y': 23.0236738, 'x': 91.3457593, 'street_count': 3}
1853244292: {'y': 23.0264612, 'x': 91.3191224, 'street_count': 3}
1853244470: {'y': 23.0324953, 'x': 91.3136009, 'street_count': 1}
1925337700: {'y': 23.0123316, 'x': 91.400696, 'street_count': 3}
1925337701: {'y': 23.0269245, 'x': 91.3804837, 'street_count': 3}
1925337722: {'y': 23.0137802, 'x': 91.4004778, 'street_count': 4}
1925337735: {'y': 23.0004662, 'x': 91.3941308, 'street_count': 3}
1925337739: {'y': 23.0161076, 'x': 91.3925895, 'street_count': 3}
1925337765: {'y': 22.9877715, 'x': 91.4101313, 'street_count': 3}
1925337772: {'y': 23.0096262, 'x': 91.3993444, 'street_count': 3}
1925337786: {'y': 23.0136375, 'x': 91.4031489, 'street_count': 1}
1925340377: {'y': 23.0236701, 'x': 91.4086448, 'street_count': 3}
1925340385: {'y': 23.0220959, 'x': 91.4085696, 'street_count': 3}
1925340387: {'y': 23.0260423, 'x': 91.4067807, 'street_count': 3}
1925340393: {'y': 23.0242861, 'x': 91.4069881, 'street_count': 3}
1932280399: {'y': 23.011836, 'x': 91.4105907, 'street_count': 3}
1932280404: {'y': 23.0001603, 'x': 91.4083555, 'street_count': 3}
1932280474: {'y': 23.009109, 'x': 91.4046567, 'street_count': 3}
1932280488: {'y': 23.0134593, 'x': 91.4005637, 'street_count': 4}
1932280514: {'y': 23.0113062, 'x': 91.4085341, 'street_count': 3}
1932280624: {'y': 23.0118286, 'x': 91.4093477, 'street_count': 3}
1932280663: {'y': 23.0073093, 'x': 91.4042088, 'street_count': 3}
1932280672: {'y': 23.0115926, 'x': 91.4116314, 'street_count': 3}
1932280713: {'y': 23.0073858, 'x': 91.4037045, 'street_count': 3}
1932280742: {'y': 23.0103755, 'x': 91.4060273, 'street_count': 3}
1932280770: {'y': 23.0104672, 'x': 91.4009149, 'street_count': 3}
1932280771: {'y': 23.0134514, 'x': 91.4004994, 'street_count': 3}
1932280895: {'y': 23.0071565, 'x': 91.4011768, 'street_count': 3}
1932280940: {'y': 23.0000186, 'x': 91.4065088, 'street_count': 3}
1932280949: {'y': 22.9997621, 'x': 91.4053481, 'street_count': 3}
